CODIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
94042;CAMINHA                                 ;;;;;CAMINHA;;PORTUGAL;NO;NO;
94048;VILA NOVA DE CERVEIRA                   ;;;;;VILA NOVA DE CERVEIRA;;PORTUGAL;NO;NO;
94333;CASTELO DE VIDE                         ;;;;;CASTELO DE VIDE;;PORTUGAL;NO;NO;
94334;VALE DO PESO                            ;;;;;VALE DO PESO;;PORTUGAL;NO;NO;
94335;PONTE DO SOR                            ;;;;;PONTE DO SOR;;PORTUGAL;NO;NO;
94336;ABRANTES                                ;;;;;ABRANTES;;PORTUGAL;NO;NO;
94337;TORRE DAS VARGEN                        ;;;;;TORRE DAS VARGEN;;PORTUGAL;NO;NO;
94339;MARVAO                                  ;;;;;MARVAO;;PORTUGAL;NO;NO;
94341;ESTARREJA                               ;;;;;ESTARREJA;;PORTUGAL;NO;NO;
94342;OVAR                                    ;;;;;OVAR;;PORTUGAL;NO;NO;
94343;AVEIRO                                  ;;;;;AVEIRO;;PORTUGAL;NO;NO;
94344;ESPINHO                                 ;;;;;ESPINHO;;PORTUGAL;NO;NO;
94345;VILA NOVA DE GAIA                       ;;;;;VILA NOVA DE GAIA;;PORTUGAL;NO;NO;
94346;PORTO CAMPANHA - O PORTO CAMPAÑA        ;41.1489   ;-8.58544  ;Rua da Estação;;O PORTO CAMPAÑA;;PORTUGAL;NO;NO;
94347;CURIA (APD)                             ;;;;;CURIA;;PORTUGAL;NO;NO;
94362;ENTRONCAMENTO                           ;;;;;ENTRONCAMENTO;;PORTUGAL;NO;NO;
94363;FATIMA                                  ;;;;;FATIMA;;PORTUGAL;NO;NO;
94364;POMBAL                                  ;;;;;POMBAL;;PORTUGAL;NO;NO;
94365;COIMBRA                                 ;;;;;COIMBRA;;PORTUGAL;NO;NO;
94366;PAMPILHOSA                              ;;;;;PAMPILHOSA;;PORTUGAL;NO;NO;
94367;MANGUALDE                               ;;;;;MANGUALDE;;PORTUGAL;NO;NO;
